What is your age,What is your gender identity,Other (please specify)...4,American Indian or Alaska Native,Asian or Asian American,Black or African American,Hispanic or Latino,Middle Eastern or North African,Native Hawaiian or other Pacific Islander,White,Another race,Other (please specify)...13,In what state or U.S. territory do you live?,What is the geography of your place of residence?,Which of the following best describes your current relationship status?,What is the highest level of education you have completed?,Protestantism,Catholicism,Christianity,Judaism,Islam,Buddhism,Hinduism,Native American,Inter/Non-denominational,No religion,Other (please specify)...28,RHISum,RHIMean,PeerMean,MentorMean,CommunityMean,Zest,Engagement,Authenticity,SocialScore,EmotionalScore,Loneliness
33,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,North Carolina,Suburban,"Single, never married",Graduated from college,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4166666666666665,NA,3.2857142857142856,3.4615384615384617,NA,3.25,5,6,11
36,Cisgender woman,NA,American Indian or Alaska Native,NA,Black or African American,Hispanic or Latino,NA,NA,NA,NA,NA,Maryland,Suburban,"Single, never married",Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,120,6.315789473684211,3.3333333333333335,3,3.357142857142857,3.230769230769231,3.1666666666666665,3.3333333333333335,4,1,5
61,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Texas,Urban,"Single, never married",Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,NA,3.272727272727273,2.7142857142857144,NA,2.5833333333333335,3.3333333333333335,5,5,10
71,Non-binary,Male.,NA,NA,NA,NA,NA,NA,NA,NA,Caucasian and Moroccan,Ohio,Rural,Married,1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Follower of Jesus,78,4.105263157894737,2.3333333333333335,1.8181818181818181,2.142857142857143,2.230769230769231,1.75,2.3333333333333335,5,6,11
33,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Ohio,Suburban,"Single, never married",1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,109,5.7368421052631575,3,3.5454545454545454,2.4285714285714284,3.076923076923077,3,2.75,3,3,6
22,Transgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,New York,Urban,Cohabiting with a significant other or in a domestic partnership,1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,NA,3.1818181818181817,NA,NA,NA,3.25,0,0,0
54,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Suburban,Separated,Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,7.157894736842105,4.25,4.181818181818182,2.7857142857142856,3.6923076923076925,4.083333333333333,3.25,0,2,2
32,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,Virginia,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,122,6.421052631578948,3.9166666666666665,3.6363636363636362,2.5,3.4615384615384617,3.25,3.1666666666666665,3,4,7
25,Cisgender man,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,Georgia,Suburban,"Single, never married",Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,114,6,2.8333333333333335,3.4545454545454546,3,3.230769230769231,3.4166666666666665,2.5833333333333335,4,2,6
32,Cisgender man,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Texas,Urban,Married,Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,6.473684210526316,3.75,3.3636363636363638,2.9285714285714284,3.3076923076923075,3.5,3.1666666666666665,4,6,10
37,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,New Jersey,Suburban,"Single, never married",Completed graduate school,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,6.473684210526316,3.8333333333333335,3.090909090909091,3.0714285714285716,3.6153846153846154,3.5833333333333335,2.75,0,0,0
20,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New York,Suburban,"Single, never married",2 years of college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,4.7894736842105265,2.4166666666666665,2.4545454545454546,2.5,2.6923076923076925,2.25,2.4166666666666665,4,3,7
44,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Suburban,Cohabiting with a significant other or in a domestic partnership,Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,133,7,4.166666666666667,4,2.7857142857142856,3.3076923076923075,3.75,3.75,5,4,9
45,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Texas,Suburban,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,108,5.684210526315789,2.8333333333333335,3.909090909090909,2.2142857142857144,2.5384615384615383,2.75,3.5,4,4,8
32,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Georgia,Suburban,"Single, never married",Completed graduate school,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,130,6.842105263157895,4.083333333333333,3.727272727272727,2.857142857142857,3.6153846153846154,3.9166666666666665,3,2,1,3
26,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Colorado,Exurban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,Inter/Non-denominational,NA,NA,125,6.578947368421052,4,4.090909090909091,2.2857142857142856,3.3076923076923075,3.25,3.5833333333333335,4,6,10
39,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,White,NA,NA,Colorado,Suburban,Cohabiting with a significant other or in a domestic partnership,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,132,6.947368421052632,3.9166666666666665,3.909090909090909,3,3.923076923076923,3.75,3,5,5,10
31,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Suburban,"Single, never married",1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,3,NA,1,1.3846153846153846,1.75,NA,3,1,4
30,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,West Virginia,Rural,Married,Graduated from high school,Protestantism,Catholicism,Christianity,Judaism,Islam,Buddhism,Hinduism,Native American,Inter/Non-denominational,No religion,The universe,107,5.631578947368421,3,3.6363636363636362,2.2142857142857144,2.769230769230769,2.5833333333333335,3.3333333333333335,4,6,10
32,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Suburban,Cohabiting with a significant other or in a domestic partnership,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,129,6.7894736842105265,2.9166666666666665,4.636363636363637,3.0714285714285716,3.6923076923076925,3.5,3.25,1,5,6
40,Cisgender woman,NA,American Indian or Alaska Native,NA,NA,Hispanic or Latino,NA,NA,White,NA,NA,Texas,Suburban,"Single, never married",3 years of college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,5.157894736842105,2.6666666666666665,3.3636363636363638,2.0714285714285716,2.3846153846153846,2.75,2.8333333333333335,5,6,11
55,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,77,4.052631578947368,3,1.8181818181818181,1.5,1.9230769230769231,2,2.3333333333333335,5,4,9
40,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,North Carolina,Suburban,Married,Graduated from college,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,123,6.473684210526316,3.5833333333333335,3.909090909090909,2.642857142857143,3.3846153846153846,3.3333333333333335,3.25,4,6,10
40,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,California,Suburban,"Single, never married",2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,70,3.6842105263157894,3,1.6363636363636365,1.1428571428571428,1.5384615384615385,1.9166666666666667,2.25,5,4,9
44,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New Jersey,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,78,4.105263157894737,3.4166666666666665,1.1818181818181819,1.7142857142857142,1.7692307692307692,2.25,2.3333333333333335,5,3,8
50,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New Jersey,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,103,5.421052631578948,3.6666666666666665,2.272727272727273,2.4285714285714284,2.6153846153846154,2.5833333333333335,3.1666666666666665,5,6,11
50,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Ohio,Urban,Divorced,2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,NA,1.6153846153846154,NA,2.75,5,2,7
22,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Virginia,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,116,6.105263157894737,3.5833333333333335,3.909090909090909,2.142857142857143,3,3.3333333333333335,3.0833333333333335,0,1,1
